epoch,train_loss,psnr,ssim
1,0.03503189496527684,33.52430584556178,0.7014418558070534
2,0.03400199722038604,33.85865261680201,0.7141448008386713
3,0.034341489270621216,33.98786715457314,0.7160863123441997
4,0.03364657068131379,34.039323907149466,0.7169666698104457
5,0.03316773745478187,34.073296095195566,0.7187689919220773
6,0.03349966167595731,34.079968201486686,0.7190797956366288
7,0.033404394490532126,34.08840661299856,0.7184604469098543
8,0.033520872671022474,34.01253901029888,0.7181800196045324
9,0.03334039505234504,34.11170949433979,0.7191210451879
10,0.032923756871394906,34.1374837975753,0.7213749791446485
11,0.03289771103861192,34.16132334658974,0.7236257038618389
12,0.03308010000892612,34.1655387878418,0.71947874834663
13,0.033590350614254735,34.18216554742111,0.7238793655445701
14,0.033664148609456886,34.172891315660976,0.7212995290756226
15,0.03344341617425432,34.227882084093594,0.7257844052816692
16,0.03324539710890995,34.20702602988795,0.7250590638110512
17,0.032818343281375624,34.204199841147975,0.7254392159612555
18,0.0328520864966404,34.24371809708445,0.7254187119634528
19,0.0325376459492752,34.261068745663295,0.7259939689385263
20,0.032330192215965094,34.26572629025108,0.7274022321952017
21,0.03295007003863982,34.281315652947676,0.7269580301485563
22,0.032759169528978956,34.26648009450812,0.7248433702870419
23,0.032480671370671274,34.270973807887025,0.7261411359435633
24,0.033028264560860145,34.28771781921387,0.7274276896526939
25,0.03344971763744322,34.26686608163934,0.729050172002692
26,0.03217961748007191,34.28531576457777,0.7266741238142315
27,0.032331235201872255,34.27755175138775,0.7275380460839522
28,0.0326906671713903,34.3075230247096,0.7286778500205592
29,0.03254677824036454,34.28022143715307,0.7291161480702852
30,0.032739002647506725,34.30274852953459,0.7263138576557762
31,0.03247445703944169,34.31285858154297,0.7299243149004484
32,0.033219018232930136,34.33969387255217,0.7295034402295163
33,0.03210558891240283,34.33795135899594,0.7306777019249765
34,0.03286400845229446,34.33243450365568,0.7288271627928081
35,0.032536044728055775,34.35053102593673,0.7305262527967754
36,0.03244107832615993,34.3396705828215,0.7304626703262329
37,0.032550247321578574,34.35462279068796,0.7307374822465997
38,0.0332236827620451,34.36244442588404,0.7294559133680243
39,0.03261265979731927,34.352537757471985,0.7315068244934082
40,0.03221970296419977,34.34965143705669,0.7307616660469457
41,0.03199725964734981,34.345070487574525,0.730934855185057
42,0.03240220894453576,34.37651855067203,0.7307981158557691
43,0.03310501336748431,34.34877556248715,0.730582130582709
44,0.03242615385384983,34.36573841697291,0.7311449741062365
45,0.032853072887870025,34.363479112323965,0.7309862155663339
46,0.03201822449554162,34.3639030456543,0.7321392203632154
47,0.03245973939087287,34.36661168148643,0.7303954425610995
48,0.0323844527957557,34.36520024349815,0.7303638615106282
49,0.03187125841862556,34.38446516739695,0.7312217229291013
50,0.03225317196808306,34.389774322509766,0.7330459889612699
51,0.032563602961375414,34.37904418142218,0.7325280245981718
52,0.03264856783403869,34.395828447843854,0.7323865482681676
53,0.03229127383330859,34.37736691926655,0.7318169098151358
54,0.03233568765312792,34.39776872333727,0.7324592031930622
55,0.03233092118346368,34.39591166847631,0.7324927637451574
56,0.031976972653317344,34.40572076094778,0.7324827815357008
57,0.032210870222356844,34.388173856233294,0.7334750671135751
58,0.03229880715574486,34.395682887027135,0.7333869055697793
59,0.03194686654023826,34.394274159481654,0.7336212396621704
60,0.032000444010348926,34.405849055240026,0.7335704784644278
