epoch,train_loss,psnr,ssim
1,0.08244695996536928,23.894927777742083,0.605080424170745
2,0.05044699664091408,23.696834664595755,0.6630208962842038
3,0.0436687382474699,25.648664976421156,0.6930024325847626
4,0.04130563638587433,25.269052405106393,0.6834759429881447
5,0.04014372531476334,25.855063890155993,0.7073069010910235
6,0.03768999467787879,25.497553574411494,0.7159600775492819
7,0.03866755426053638,26.028554815995065,0.7162871627431167
8,0.037748340680228816,25.86289456016139,0.7168691879824588
9,0.0364873180963762,25.38430314314993,0.7139277928753903
10,0.03589122269308225,26.269866842972604,0.7213520611587324
11,0.03548740379394314,26.186545723362972,0.7181941411997143
12,0.03608345825978039,25.707457893773128,0.7220790464627115
13,0.03547462970608365,26.3004822981985,0.7211437601792184
14,0.03488769157625297,25.413909209401982,0.7195789437544974
15,0.03552107703850954,25.801954068635638,0.723141002027612
16,0.03431081938589635,26.310229853579873,0.7267065675635087
17,0.03436371853201458,26.414072036743164,0.7207633617677187
18,0.034795917924577834,26.306270298204925,0.7210623386659121
19,0.034428430584906904,26.282398223876953,0.7299596510435405
20,0.03376117092592369,25.924490276135895,0.7314783444530085
21,0.0335405655092873,26.541641737285413,0.732134001819711
22,0.033807558614372936,26.607242885388825,0.7343486406301197
23,0.03335325039647868,26.641891881039268,0.7359739636120043
24,0.033300667060019384,26.43834907130191,0.735604664212779
25,0.03350402851663474,26.553498017160518,0.7382837863344895
26,0.033275030349657994,25.631973868922184,0.7373539742670561
27,0.03363352299697394,26.449624513324938,0.7405615339153692
28,0.03288952336080518,26.69143425790887,0.7378062872510207
29,0.03260872850045674,26.606898157220137,0.7413876825257352
30,0.03249417079632279,26.548777530067845,0.7414869101423966
31,0.031044194265514566,26.707127320139033,0.7450342680278578
32,0.030950534526893635,26.8605677956029,0.7449420690536499
33,0.03063443245796057,26.879303078902396,0.7472125966297952
34,0.030828200916999875,26.58563724317049,0.747846256745489
35,0.030953974523448117,26.92062930056923,0.7483648814653096
36,0.031064936717014147,26.931968387804535,0.7483676468071184
37,0.030489120935827358,26.888452329133685,0.7488960153178165
38,0.030946116454809408,26.886627498425934,0.7493466907425931
39,0.03085657536736261,26.833972428974352,0.7493629173228615
40,0.030526161377864635,26.9607125332481,0.751061886548996
41,0.03064210516671744,26.854420009412262,0.7508580982685089
42,0.03021718499139738,26.876300008673418,0.7520843697221655
43,0.03070565891841238,25.996403041638825,0.7495683462996232
44,0.03114586249190533,27.024288277877005,0.7517744569401992
45,0.030954739887992182,26.9580202604595,0.7533381048001742
46,0.03030357237899645,27.008400164152448,0.7524856156424472
47,0.031090885933157095,26.80095010054739,0.7535077098168825
48,0.031167985520959125,27.064148149992292,0.7540699588625055
49,0.030259581994220366,27.090044925087376,0.7548312356597499
50,0.029839755692638647,27.124915775499847,0.7561369804959548
51,0.030150592395948698,26.939364282708418,0.7563548480209551
52,0.030083266345342988,27.148706335770456,0.7573136389255524
53,0.029919443951236985,27.130687512849505,0.7574355131701419
54,0.02959735802940878,26.98217020536724,0.7574356543390375
55,0.029340063342557683,27.19451783832751,0.758613004496223
56,0.030198449151643846,27.18079205563194,0.7586760175855536
57,0.029341665058653817,27.1878124036287,0.7587999089768058
58,0.02956658444222664,27.183537131861637,0.7589202836940163
59,0.030026397876424624,27.206158085873252,0.7592802439865313
60,0.029818125632430005,27.198719024658203,0.7594834048497049
